Activity_Name,Traits,Source,Requirements,Description
Affix A Talisman,"Exploration, Manipulate",CRB 565,You must use a repair kit.,"You spend 10 minutes affixing a talisman to an item, placing the item on a stable surface and using the repair kit with both hands. You can also use this activity to remove a talisman. If more than one talisman is affixed to an item, the talismans are suppressed; none of them can be activated."
Avoid Notice,Exploration,CRB 479,None,"You attempt a Stealth check to avoid notice while traveling at half speed. If you have the Swift Sneak feat, you can move at full Speed rather than half, but you still can’t use another exploration activity while you do so. If you have the Legendary Sneak feat, you can move at full Speed and use a second exploration activity. If you’re Avoiding Notice at the start of an encounter, you usually roll a Stealth check instead of a Perception check both to determine your initiative and to see if the enemies notice you (based on their Perception DCs, as normal for Sneak, regardless of their initiative check results)."
Borrow An Arcane Spell,"Concentrate, Exploration",CRB 241,None,"If you’re an arcane spellcaster who prepares from a spellbook, you can attempt to prepare a spell from someone else’s spellbook. The GM sets the DC for the check based on the spell’s level and rarity; it’s typically a bit easier than Learning the Spell.

Success You prepare the borrowed spell as part of your normal spell preparation.
Failure You fail to prepare the spell, but the spell slot remains available for you to prepare a different spell. You can’t try to prepare this spell until the next time you prepare spells."
Call Companion,Exploration,APG 160,None,"You spend 1 minute calling for a different animal companion, switching your active companion for another of your animal companions."
Coerce,"Auditory, Concentrate, Emotion, Exploration, Linguistic, Mental",CRB 247,None,"With threats either veiled or overt, you attempt to bully a creature into doing what you want. You must spend at least 1 minute of conversation with a creature you can see and that can either see or sense you. At the end of the conversation, attempt an Intimidation check against the target's Will DC, modified by any circumstances the GM determines. The attitudes referenced in the effects below are summarized in the Changing Attitudes sidebar and described in full in the Conditions page.

Critical Success The target gives you the information you seek or agrees to follow your directives so long as they aren't likely to harm the target in any way. The target continues to comply for an amount of time determined by the GM but not exceeding 1 day, at which point the target becomes unfriendly (if they weren't already unfriendly or hostile). However, the target is too scared of you to retaliate—at least in the short term.
Success As critical success, but once the target becomes unfriendly, they might decide to act against you—for example, by reporting you to the authorities or assisting your enemies.
Failure The target doesn’t do what you say, and if they were not already unfriendly or hostile, they become unfriendly.
Critical Failure The target refuses to comply, becomes hostile if they weren’t already, and can’t be Coerced by you for at least 1 week."
Cover Tracks,"Concentrate, Exploration, Move",CRB 252,None,"You cover your tracks, moving up to half your travel speed. You don’t need to attempt a Survival check to cover your tracks, but anyone tracking you must succeed at a Survival check against your Survival DC if it is higher than the normal DC to Track.

In some cases, you might Cover Tracks in an encounter. In this case, Cover Tracks is a single action and doesn’t have the exploration trait."
Decipher Writing,"Concentrate, Exploration, Secret",CRB 234,None,"You attempt to decipher complicated writing or literature on an obscure topic. This usually takes 1 minute per page of text, but might take longer (typically an hour per page for decrypting ciphers or the like). The text must be in a language you can read, though the GM might allow you to attempt to decipher text written in an unfamiliar language using Society instead.

The DC is determined by the GM based on the state or complexity of the document. The GM might have you roll one check for a short text or a check for each section of a larger text.

Critical Success You understand the true meaning of the text.
Success You understand the true meaning of the text. If it was a coded document, you know the general meaning but might not have a word-for-word translation.
Failure You can’t understand the text and take a –2 circumstance penalty to further checks to decipher it.
Critical Failure You believe you understand the text on that page, but you have in fact misconstrued its message."
Defend,Exploration,CRB 479,None,"You move at half your travel speed with your shield raised. If combat breaks out, you gain the benefits of Raising a Shield before your first turn begins."
Detect Magic,"Concentrate, Exploration",CRB 479,None,"You cast detect magic at regular intervals. You move at half your travel speed or slower. You have no chance of accidentally overlooking a magic aura at a travel speed up to 300 feet per minute, but must be traveling no more than 150 feet per minute to detect magic auras before the party moves into them."
Follow The Expert,"Auditory, Concentrate, Exploration, Visual",CRB 479,None,"Choose an ally attempting a recurring skill check while exploring, such as climbing, or performing a different exploration tactic that requires a skill check (like Avoiding Notice). The ally must be at least an expert in that skill and must be willing to provide assistance. While Following the Expert, you match their tactic or attempt similar skill checks. Thanks to your ally’s assistance, you can add your level as a proficiency bonus to the associated skill check, even if you’re untrained. Additionally, you gain a circumstance bonus to your skill check based on your ally’s proficiency (+2 for expert, +3 for master, and +4 for legendary)."
Gather Information,"Exploration, Secret",CRB 246,None,"You canvass local markets, taverns, and gathering places in an attempt to learn about a specific individual or topic. The GM determines the DC of the check and the amount of time it takes (typically 2 hours, but sometimes more), along with any benefit you might be able to gain by spending coin on bribes, drinks, or gifts.

Success You collect information about the individual or topic. The GM determines the specifics.
Critical Failure You collect incorrect information about the individual or topic."
Hustle,"Exploration, Move",CRB 480,None,"You strain yourself to move at double your travel speed. You can Hustle only for a number of minutes equal to your Constitution modifier × 10 (minimum 10 minutes). If you are in a group that is Hustling, use the lowest Constitution modifier among everyone to determine how fast the group can Hustle together."
Identify Alchemy,"Concentrate, Exploration, Secret",CRB 245,You have alchemist's tools.,"You can identify the nature of an alchemical item with 10 minutes of testing using alchemist’s tools. If your attempt is interrupted in any way, you must start over.

Success You identify the item and the means of activating it.
Failure You fail to identify the item but can try again.
Critical Failure You misidentify the item as another item of the GM’s choice."
Identify Magic,"Concentrate, Exploration, Secret",CRB 238,None,"Once you discover that an item, location, or ongoing effect is magical, you can spend 10 minutes to try to identify the particulars of its magic. If your attempt is interrupted, you must start over. The GM sets the DC for your check. Cursed or esoteric subjects usually have higher DCs or might even be impossible to identify using this activity alone. Heightening a spell doesn’t increase the DC to identify it.

Critical Success You learn all the attributes of the magic, including its name (for an effect), what it does, any means of activating it (for an item or location), and whether it is cursed.
Success For an item or location, you get a sense of what it does and learn any means of activating it. For an ongoing effect (such as a spell with a duration), you learn the effect’s name and what it does. You can’t try again in hopes of getting a critical success.
Failure You fail to identify the magic and can’t try again for 1 day.
Critical Failure You misidentify the magic as something else of the GM’s choice."
Impersonate,"Concentrate, Exploration, Manipulate, Secret",CRB 245,None,"You create a disguise to pass yourself off as someone or something you are not. Assembling a convincing disguise takes 10 minutes and requires a disguise kit, but a simpler, quicker disguise might do the job if you’re not trying to imitate a specific individual, at the GM’s discretion.

In most cases, creatures have a chance to detect your deception only if they use the Seek action to attempt Perception checks against your Deception DC. If you attempt to directly interact with someone while disguised, the GM rolls a secret Deception check for you against that creature’s Perception DC instead. If you’re disguised as a specific individual, the GM might give creatures you interact with a circumstance bonus based on how well they know the person you’re imitating, or the GM might roll a secret Deception check even if you aren’t directly interacting with others.

Success You trick the creature into thinking you’re the person you’re disguised as. You might have to attempt a new check if your behavior changes.
Failure The creature can tell you’re not who you claim to be.
Critical Failure The creature can tell you’re not who you claim to be, and it recognizes you if it would know you without a disguise."
Investigate,"Concentrate, Exploration",CRB 480,None,"You seek out information about your surroundings while traveling at half speed. You use Recall Knowledge as a secret check to discover clues among the various things you can see and engage with as you journey along. You can use any skill that has a Recall Knowledge action while Investigating, but the GM determines whether the skill is relevant to the clues you could find."
