Action_Name,Skill,Trained?,Action_Type,Traits,Source,Requirements,Description
Balance,Acrobatics,No,A,Move,CRB 240,"You are in a square that contains a narrow surface, uneven ground, or another similar feature.","You move across a narrow surface or uneven ground, attempting an Acrobatics check against its Balance DC. You are flat-footed while on a narrow surface or uneven ground.

Critical Success You move up to your Speed.
Success You move up to your Speed, treating it as difficult terrain (every 5 feet costs 10 feet of movement).
Failure You must remain stationary to keep your balance (wasting the action) or you fall. If you fall, your turn ends.
Critical Failure You fall and your turn ends."
Tumble Through,Acrobatics,No,A,Move,CRB 240,None,"You Stride up to your Speed. During this movement, you can try to move through the space of one enemy. Attempt an Acrobatics check against the enemy’s Reflex DC as soon as you try to enter its space. You can Tumble Through using Climb, Fly, Swim, or another action instead of Stride in the appropriate environment.

Success You move through the enemy’s space, treating the squares in its space as difficult terrain (every 5 feet costs 10 feet of movement). If you don’t have enough Speed to move all the way through its space, you get the same effect as a failure.
Failure Your movement ends, and you trigger reactions as if you had moved out of the square you started in."
Maneuver in Flight,Acrobatics,Yes,A,Move,CRB 240,You have a fly Speed.,"You try a difficult maneuver while flying. Attempt an Acrobatics check. The GM determines what maneuvers are possible, but they rarely allow you to move farther than your fly Speed.

Success You succeed at the maneuver.
Failure Your maneuver fails. The GM chooses if you simply can’t move or if some other detrimental effect happens. The outcome should be appropriate for the maneuver you attempted (for instance, being blown off course if you were trying to fly against a strong wind).
Critical Failure As failure, but the consequence is more dire."
Squeeze,Acrobatics,Yes,None,"Exploration, Move",CRB 241,None,"You contort yourself to squeeze through a space so small you can barely fit through. This action is for exceptionally small spaces; many tight spaces are difficult terrain that you can move through more quickly and without a check.

Critical Success You squeeze through the tight space in 1 minute per 10 feet of squeezing.
Success You squeeze through in 1 minute per 5 feet.
Critical Failure You become stuck in the tight space. While you’re stuck, you can spend 1 minute attempting another Acrobatics check at the same DC. Any result on that check other than a critical failure causes you to become unstuck."
Borrow An Arcane Spell,Arcana,Yes,None,"Concentrate, Exploration",CRB 241,None,"If you’re an arcane spellcaster who prepares from a spellbook, you can attempt to prepare a spell from someone else’s spellbook. The GM sets the DC for the check based on the spell’s level and rarity; it’s typically a bit easier than Learning the Spell.

Success You prepare the borrowed spell as part of your normal spell preparation.
Failure You fail to prepare the spell, but the spell slot remains available for you to prepare a different spell. You can’t try to prepare this spell until the next time you prepare spells."
Recall Knowledge,"Arcana, Crafting, Lore, Medicine, Nature, Occultism, Religion, Society",No,A,"Concentrate, Secret",CRB 239,None,"You attempt a skill check to try to remember a bit of knowledge regarding a topic related to that skill. The GM determines the DCs for such checks and which skills apply.

Critical Success You recall the knowledge accurately and gain additional information or context.
Success You recall the knowledge accurately or gain a useful clue about your current situation.
Critical Failure You recall incorrect information or gain an erroneous or misleading clue.

The following skills can be used to Recall Knowledge, getting information about the listed topics. In some cases, you can get the GM's permission to use a different but related skill, usually against a higher DC than normal. Some topics might appear on multiple lists, but the skills could give different information. For example, Arcana might tell you about the magical defenses of a golem, whereas Crafting could tell you about its sturdy resistance to physical attacks.
• Arcana: Arcane theories, magical traditions, creatures of arcane significance, and arcane planes.
• Crafting: Alchemical reactions and creatures, item value, engineering, unusual materials, and constructs.
• Lore: The subject of the Lore skill's subcategory.
• Medicine: Diseases, poisons, wounds, and forensics.
• Nature: The environment, flora, geography, weather, creatures of natural origin, and natural planes.
• Occultism: Ancient mysteries, obscure philosophy, creatures of occult significance, and esoteric planes.
• Religion: Divine agents, divine planes, theology, obscure myths, and creatures of religious significance.
• Society: Local history, key personalities, legal institutions, societal structure, and humanoid culture.

The GM might allow checks to Recall Knowledge using other skills. For example, you might assess the skill of an acrobat using Acrobatics. If you're using a physical skill (like in this example), the GM will most likely have you use a mental ability score—typically Intelligence—instead of the skill's normal physical ability score."
Decipher Writing,"Arcana, Occultism, Religion, Society",Yes,None,"Concentrate, Exploration, Secret",CRB 234,None,"You attempt to decipher complicated writing or literature on an obscure topic. This usually takes 1 minute per page of text, but might take longer (typically an hour per page for decrypting ciphers or the like). The text must be in a language you can read, though the GM might allow you to attempt to decipher text written in an unfamiliar language using Society instead.

The DC is determined by the GM based on the state or complexity of the document. The GM might have you roll one check for a short text or a check for each section of a larger text.

Critical Success You understand the true meaning of the text.
Success You understand the true meaning of the text. If it was a coded document, you know the general meaning but might not have a word-for-word translation.
Failure You can’t understand the text and take a –2 circumstance penalty to further checks to decipher it.
Critical Failure You believe you understand the text on that page, but you have in fact misconstrued its message."
Identify Magic,"Arcana, Religion, Occultism, Nature",Yes,None,"Concentrate, Exploration, Secret",CRB 238,None,"Once you discover that an item, location, or ongoing effect is magical, you can spend 10 minutes to try to identify the particulars of its magic. If your attempt is interrupted, you must start over. The GM sets the DC for your check. Cursed or esoteric subjects usually have higher DCs or might even be impossible to identify using this activity alone. Heightening a spell doesn’t increase the DC to identify it.

Critical Success You learn all the attributes of the magic, including its name (for an effect), what it does, any means of activating it (for an item or location), and whether it is cursed.
Success For an item or location, you get a sense of what it does and learn any means of activating it. For an ongoing effect (such as a spell with a duration), you learn the effect’s name and what it does. You can’t try again in hopes of getting a critical success.
Failure You fail to identify the magic and can’t try again for 1 day.
Critical Failure You misidentify the magic as something else of the GM’s choice."
Learn A Spell,"Arcana, Religion, Occultism, Nature",Yes,None,"Concentrate, Exploration",CRB 238,"You have a spellcasting class feature, and the spell you want to learn is on your magical tradition’s spell list.","You can gain access to a new spell of your tradition from someone who knows that spell or from magical writing like a spellbook or scroll. If you can cast spells of multiple traditions, you can Learn a Spell of any of those traditions, but you must use the corresponding skill to do so. For example, if you were a cleric with the bard multiclass archetype, you couldn't use Religion to add an occult spell to your bardic spell repertoire.

To learn the spell, you must do the following:
• Spend 1 hour per level of the spell, during which you must remain in conversation with a person who knows the spell or have the magical writing in your possession.
• Have materials with the Price indicated in Table 4–3.
• Attempt a skill check for the skill corresponding to your tradition (DC determined by the GM, often close to the DC on Table 4–3). Uncommon or rare spells have higher DCs.

If you have a spellbook, Learning a Spell lets you add the spell to your spellbook; if you prepare spells from a list, it's added to your list; if you have a spell repertoire, you can select it when you add or swap spells."
Earn Income,"Arcrobatics, Arcana, Athletics, Crafting, Deception, Diplomacy, Intimidation, Lore, Medicine, Nature, Occultism, Performance, Religion, Society, Stealth, Survival, Thievery",Yes,None,Downtime,CRB 236,None,"You use one of your skills to make money during downtime. The GM assigns a task level representing the most lucrative job available. You can search for lower-level tasks, with the GM determining whether you find any. Sometimes you can attempt to find better work than the initial offerings, though this takes time and requires using the Diplomacy skill to Gather Information, doing some research, or socializing.

When you take on a job, the GM secretly sets the DC of your skill check. After your first day of work, you roll to determine your earnings. You gain an amount of income based on your result, the task’s level, and your proficiency rank (as listed on Table 4–2: Income Earned).

You can continue working at the task on subsequent days without needing to roll again. For each day you spend after the first, you earn the same amount as the first day, up until the task’s completion. The GM determines how long you can work at the task. Most tasks last a week or two, though some can take months or even years."
