Ancestry,Heritage,Trait_1,Trait_2,Trait_3,Trait_4,Trait_5,Source,Hit_Points,Size,Speed_In_Feet,Ability_Boost_1,Ability_Boost_2,Ability_Boost_3,Ability_Flaws,Languages_1,Languages_2,Languages_3,Languages_4,Senses,Additional_Info,Description
Dwarf,Ancient-Blooded,Dwarf,Humanoid,None,None,None,CRB 35,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Dwarven heroes of old could shrug off their enemies’ magic, and some of that resistance manifests in you. You gain the Call on Ancient Blood reaction.

Call on Ancient Blood [Reaction]
Trigger You attempt a saving throw against a magical effect, but you haven't rolled yet.

Your ancestors' innate resistance to magic surges, before slowly ebbing down. You gain a +1 circumstance bonus until the end of this turn. This bonus also applies to the triggering save."
Dwarf,Anvil,Dwarf,Humanoid,None,None,None,LOCG 19,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You are a descendant of a famed crafter and have your own amazing talent. Other dwarves might consider this a blessing from your ancestors or from the Forgefather himself, depending on where you grew up. You become trained in Crafting (or another skill if you were already trained in Crafting) and gain the Specialty Crafting skill feat, but you can pick two different specialties instead of one."
Dwarf,Death Warden,Dwarf,Humanoid,None,None,None,CRB 35,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Your ancestors have been tomb guardians for generations, and the power they cultivated to ward off necromancy has passed on to you. If you roll a success on a saving throw against a necromancy effect, you get a critical success instead."
Dwarf,Elemental Heart,Dwarf,Humanoid,None,None,None,LOCG 19,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Whether through a connection to Torag’s forge, the azers of the Plane of Fire, or another source, you can exude a burst of energy. Mbe’ke and Taralu dwarves of the Mwangi Expanse believe this heritage is a gift from dragons or elemental spirits. Choose one of the following damage types: acid, cold, electricity, or fire. Once chosen, this can’t be changed. You gain the Energy Emanation activity.

Energy Emanation [Two Actions]
Evocation-Primal
Frequency once per day

Energy bursts forth from your body. You deal 1d6 damage of your chosen type to all adjacent creatures (basic Reflex save using your class DC or spell DC, whichever is higher). At 3rd level, and every 2 levels thereafter, this damage increases by 1d6."
Dwarf,Forge,Dwarf,Humanoid,None,None,None,CRB 35,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You have a remarkable adaptation to hot environments from ancestors who inhabited blazing deserts or volcanic chambers beneath the earth. This grants you fire resistance equal to half your level (minimum 1), and you treat environmental heat effects as if they were one step less extreme (incredible heat becomes extreme, extreme heat becomes severe, and so on)."
Dwarf,Oathkeeper,Dwarf,Humanoid,None,None,None,LOCG 19,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Growing up, you never tried to lie to get what you wanted, and even when necessary, lying makes you uncomfortable. The especially faithful might even have thought that you were blessed by the dwarven god of duty, Kols. You gain a +1 circumstance bonus to Perception checks to Sense Motive and to Perception DCs against attempts to Lie to you. Furthermore, you gain a +2 circumstance bonus to Diplomacy checks to convince others you speak the truth when you are telling the truth, and you take a –4 circumstance penalty to Lie and to your Deception DC against Sense Motive."
Dwarf,Rock,Dwarf,Humanoid,None,None,None,CRB 36,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Your ancestors lived and worked among the great ancient stones of the mountains or the depths of the earth. This makes you solid as a rock when you plant your feet. You gain a +2 circumstance bonus to your Fortitude or Reflex DC against attempts to Shove or Trip you. This bonus also applies to saving throws against spells or effects that attempt to knock you prone.

In addition, if any effect would force you to move 10 feet or more, you are moved only half the distance."
Dwarf,Strong-Blooded,Dwarf,Humanoid,None,None,None,CRB 36,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Your blood runs hearty and strong, and you can shake off toxins. You gain poison resistance equal to half your level (minimum 1), and each of your successful saving throws against a poison affliction reduces its stage by 2, or by 1 for a virulent poison. Each critical success against an ongoing poison reduces its stage by 3, or by 2 for a virulent poison."
Dwarf,Aasimar,Dwarf,Humanoid,Aasimar,Uncommon,None,APG 34,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You descend from celestials or were touched by the celestial realms, gaining an air of awe and grace, as well as features distinctive to your celestial forebears. You gain the aasimar trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from aasimar feats and feats from your ancestry whenever you gain an ancestry feat."
Dwarf,Aphorite,Dwarf,Humanoid,Aphorite,Uncommon,None,LOAG 75,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You were born with a connection to Axis, the Plane of Law. You gain the aphorite trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from aphorite feats and feats from your ancestry whenever you gain an ancestry feat."
Dwarf,Beastkin,Dwarf,Humanoid,Beastkin,Rare,None,LOAG 79,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","The blood of a beast flows through your veins, granting you the ferocity and might of animals. Only creatures with the humanoid trait can take the beastkin versatile heritage. Choose a type of animal such as bat, eagle, shark, spider, tyrannosaurus, wasp, or wolf. This is the type of animal tied to your heritage and is known as your inherent animal. You gain the beast and beastkin traits, in addition to the traits from your ancestry. You gain the Change Shape ability. You can choose from beastkin feats and feats from your ancestry whenever you gain an ancestry feat.

Change Shape [Single Action]
Concentrate-Polymorph-Primal-Transmutation

You change into your humanoid or hybrid shape. Each shape has a specific, persistent appearance, and most beastkin remain in their hybrid shapes by default. In hybrid shape, you appear as a mix between your ancestry and your inherent animal. While in hybrid shape, you gain a jaws unarmed Strike resembling the features of your inherent animal (fangs for bats, beaks for eagles, mandibles for wasps, and so on). Your jaws deal 1d4 piercing damage, have the agile, finesse, and unarmed traits, and are in the brawling weapon group. In your humanoid shape, you retain the appearance of your original ancestry."
Dwarf,Changeling,Dwarf,Humanoid,Changeling,Uncommon,None,APG 30,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Your mother was a hag. Your heterochromatic eyes are the most obvious signifier of this parentage, but you likely also have a slighter build, paler skin, and darker hair than most members of your other parent’s ancestry. You gain the changeling trait. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can select from changeling feats and feats from your other parent’s ancestry whenever you gain an ancestry feat."
Dwarf,Dhampir,Dwarf,Humanoid,Dhampir,Uncommon,None,APG 32,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You are the scion of a vampire, half living and half undead, gifted with uncanny charm and grace, a bloodless pallor, and elongated incisors. You gain the dhampir trait, in addition to the traits from your ancestry. You have the negative healing ability, which means you are harmed by positive damage and healed by negative effects as if you were undead. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from dhampir feats and feats from your ancestry whenever you gain an ancestry feat."
Dwarf,Duskwalker,Dwarf,Humanoid,Duskwalker,Uncommon,None,APG 38,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Thanks to an ancient bargain, your soul has been reborn as a duskwalker, a planar scion with a connection to psychopomps and the Boneyard. You gain the duskwalker trait in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. Neither your body nor your spirit can ever become undead. You can choose from duskwalker feats and feats from your ancestry whenever you gain an ancestry feat."
Dwarf,Ganzi,Dwarf,Humanoid,Ganzi,Uncommon,None,LOAG 96,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","Your blood is touched by primal chaos. You gain the ganzi trait in addition to the traits from your ancestry. You gain resistance to a single damage type equal to half your level; at the beginning of each day, determine randomly whether this resistance applies to acid, electricity, or sonic damage. You also gain a +1 circumstance bonus to saving throws against effects that would cause you to gain the controlled condition. You can choose from ganzi feats and feats from your ancestry whenever you gain an ancestry feat."
Dwarf,Tiefling,Dwarf,Humanoid,Tiefling,Uncommon,None,APG 39,10,Medium,20,Constitution,Wisdom,Free,Charisma,Common,Dwarven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Gnomish, Goblin, Jotun, Orcish, Terran, Undercommon, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Darkvision You can see in darkness and dim light just as well as you can see in bright light, though your vision in darkness is in black and white.","Clan Dagger You get one clan dagger of your clan for free, as it was given to you at birth. Selling this dagger is a terrible taboo and earns you the disdain of other dwarves.","You descend from fiends or bear the mark of the fiendish realms, manifesting as some unusual feature that belies your heritage, such as horns or a tail. You gain the tiefling trait, in addition to the traits from your ancestry. You also gain low-light vision, or you gain darkvision if your ancestry already has low-light vision. You can choose from tiefling feats and feats from your ancestry whenever you gain an ancestry feat."
Elf,Ancient,Elf,Humanoid,None,None,None,LOCG 25,6,Medium,30,Dexterity,Intelligence,Free,Constitution,Common,Elven,"Additional languages equal to your Intelligence modifier (if it's positive). Choose from Celestial, Draconic, Gnoll, Gnomish, Goblin, Orcish, Sylvan, and any other languages to which you have access (such as the languages prevalent in your region).",None,"Low-Light Vision You can see in dim light as though it were bright light, so you ignore the concealed condition due to dim light.",None,"In your long life, you’ve dabbled in many paths and many styles. Choose a class other than your own. You gain the multiclass dedication feat for that class, even though you don’t meet its level prerequisite. You must still meet its other prerequisites to gain the feat."
