Activity_Name,Traits,Source,Requirements,Description
Bribe Contract,"Downtime, Secret",GMG 163,A bribe worth at least one-tenth of the Currency per Additional PC listed on Table 10–9: Party Treasure by Level. Doubling this amount grants a +2 circumstance bonus to the check; You’ve successfully Gained a Contact,"You offer a bribe to your contact to help the heist in some way. Attempt a hard or very hard Deception or Diplomacy check.

Success The contact accepts the bribe and you gain 1 EP.
Failure You believe you successfully Bribed your Contact and gained 1 EP, but in fact the contact informs the opposition of the attempted bribery, adding 1 AP to the infiltration. The GM can reveal that this Edge Point grants no benefit at any point during the infiltration, as befits the story.
Critical Failure As failure, but adding 2 AP to the infiltration."
Craft,"Downtime, Manipulate",CRB 244,None,"You can make an item from raw materials. You need the Alchemical Crafting skill feat to create alchemical items, the Magical Crafting skill feat to create magic items, and the Snare Crafting feat to create snares.

To Craft an item, you must meet the following requirements:
The item is your level or lower. An item that doesn't list a level is level 0. If the item is 9th level or higher, you must be a master in Crafting, and if it's 16th or higher, you must be legendary.
You have the formula for the item; see Getting Formulas for more information.
You have an appropriate set of tools and, in many cases, a workshop. For example, you need access to a smithy to forge a metal shield, or an alchemist's lab to produce alchemical items.
You must supply raw materials worth at least half the item's Price. You always expend at least that amount of raw materials when you Craft successfully. If you're in a settlement, you can usually spend currency to get the amount of raw materials you need, except in the case of rarer precious materials.
You must spend 4 days at work, at which point you attempt a Crafting check. The GM determines the DC to Craft the item based on its level, rarity, and other circumstances.

If your attempt to create the item is successful, you expend the raw materials you supplied. You can pay the remaining portion of the item's Price in materials to complete the item immediately, or you can spend additional downtime days working on it. For each additional day you spend, reduce the value of the materials you need to expend to complete the item. This amount is determined using Table 4–2: Income Earned, based on your proficiency rank in Crafting and using your own level instead of a task level. After any of these downtime days, you can complete the item by spending the remaining portion of its Price in materials. If the downtime days you spend are interrupted, you can return to finish the item later, continuing where you left off. An example of Crafting appears in the sidebar.

Critical Success Your attempt is successful. Each additional day spent Crafting reduces the materials needed to complete the item by an amount based on your level + 1 and your proficiency rank in Crafting.
Success Your attempt is successful. Each additional day spent Crafting reduces the materials needed to complete the item by an amount based on your level and your proficiency rank.
Failure You fail to complete the item. You can salvage the raw materials you supplied for their full value. If you want to try again, you must start over.
Critical Failure You fail to complete the item. You ruin 10% of the raw materials you supplied, but you can salvage the rest. If you want to try again, you must start over."
Create Forgery,"Downtime, Secret",CRB 251,None,"You create a forged document, usually over the course of a day or a week. You must have the proper writing material to create a forgery. When you Create a Forgery, the GM rolls a secret DC 20 Society check. If you succeed, the forgery is of good enough quality that passive observers can’t notice the fake. Only those who carefully examine the document and attempt a Perception or Society check against your Society DC can do so.

If the document’s handwriting doesn’t need to be specific to a person, you need only to have seen a similar document before, and you gain up to a +4 circumstance bonus to your check, as well as to your DC (the GM determines the bonus). To forge a specific person’s handwriting, you need a sample of that person’s handwriting.

If your check result was below 20, the forgery has some obvious signs of being a fake, so the GM compares your result to each passive observer’s Perception DC or Society DC, whichever is higher, using the success or failure results below. Once the GM rolls your check for a document, that same result is used against all passive observers’ DCs no matter how many creatures passively observe that document.

An observer who was fooled on a passive glance can still choose to closely scrutinize the documents on the lookout for a forgery, using different techniques and analysis methods beyond the surface elements you successfully forged with your original check. In that case, the observer can attempt a Perception or Society check against your Society DC (if they succeed, they know your document is a forgery).

Success The observer does not detect the forgery.
Failure The observer knows your document is a forgery."
Earn Income,Downtime,CRB 236,None,"You use one of your skills to make money during downtime. The GM assigns a task level representing the most lucrative job available. You can search for lower-level tasks, with the GM determining whether you find any. Sometimes you can attempt to find better work than the initial offerings, though this takes time and requires using the Diplomacy skill to Gather Information, doing some research, or socializing.

When you take on a job, the GM secretly sets the DC of your skill check. After your first day of work, you roll to determine your earnings. You gain an amount of income based on your result, the task’s level, and your proficiency rank (as listed on Table 4–2: Income Earned).

You can continue working at the task on subsequent days without needing to roll again. For each day you spend after the first, you earn the same amount as the first day, up until the task’s completion. The GM determines how long you can work at the task. Most tasks last a week or two, though some can take months or even years.

Critical Success You do outstanding work. Gain the amount of currency listed for the task level + 1 and your proficiency rank.
Success You do competent work. Gain the amount of currency listed for the task level and your proficiency rank.
Failure You do shoddy work and get paid the bare minimum for your time. Gain the amount of currency listed in the failure column for the task level. The GM will likely reduce how long you can continue at the task.
Critical Failure You earn nothing for your work and are fired immediately. You can’t continue at the task. Your reputation suffers, potentially making it difficult for you to find rewarding jobs in that community in the future."
Forge Documents,Downtime,GMG 163,None,"You prepare forgeries that might serve as convincing props. Attempt a hard or very hard Society check.

Success You create convincing forgeries and gain 1 EP you can use only when presenting some form of paperwork.
Failure You create unconvincing documents. You gain 1 EP that (unknown to you) grants no benefit when used.
Critical Failure As a failure, but a PC who tries to use the Edge Point gets a critical failure, even if they use the Edge Point after rolling a failure."
Gain Contact,Downtime,GMG 163,None,"You try to make contact with an individual who can aid you in the infiltration. Attempt a normal, hard, or very hard DC Diplomacy or Society check, or a check using a Lore skill appropriate to your prospective contact.

Success You make contact and gain 1 EP.
Failure You fail to make contact.
Critical Failure You insult or spook the contact in some way. Future attempts take a –2 circumstance penalty. Special Multiple critical failures might cause the contact to work against the PCs in some way, likely increasing the party’s Awareness Points."
Gossip,"Downtime, Secret",GMG 163,None,"You seek out rumors about the infiltration’s target. Attempt a normal, hard, or very hard Diplomacy check.

Critical Success You gain inside information about the location or group you’re trying to infiltrate. This grants you a +2 circumstance bonus to future checks you attempt for preparation activities for this infiltration. If you share this information, those you share it with also gain this bonus.
Success You gain inside information about the place or group you’re attempting to infiltrate that aids your planning.
Failure You learn nothing.
Critical Failure You hear a few mistaken rumors and take a –2 circumstance penalty to your next check for a preparation activity. Word spreads around that you’re asking after that group or individual, increasing your Awareness Points by 1."
Long-Term Rest,Downtime,CRB 481,None,You can spend an entire day and night resting during downtime to recover Hit Points equal to your Constitution modifier (minimum 1) multiplied by twice your level.
Retraining,Downtime,CRB 481,None,"Retraining offers a way to alter some of your character choices, which is helpful when you want to take your character in a new direction or change decisions that didn’t meet your expectations. You can retrain feats, skills, and some selectable class features. You can’t retrain your ancestry, heritage, background, class, or ability scores. You can’t perform other downtime activities while retraining.

Retraining usually requires you to spend time learning from a teacher, whether that entails physical training, studying at a library, or falling into shared magical trances. Your GM determines whether you can get proper training or whether something can be retrained at all. In some cases, you’ll have to pay your instructor.

Some abilities can be difficult or impossible to retrain (for instance, a sorcerer can retrain their bloodline only in extraordinary circumstances).

When retraining, you generally can’t make choices you couldn’t make when you selected the original option. For instance, you can’t exchange a 2nd-level skill feat for a 4th-level one, or for one that requires prerequisites you didn’t meet at the time you took the original feat. If you don’t remember whether you met the prerequisites at the time, ask your GM to make the call. If you cease to meet the prerequisites for an ability due to retraining, you can’t use that ability. You might need to retrain several abilities in sequence in order to get all the abilities you want.

Feats
You can spend a week of downtime retraining to swap out one of your feats. Remove the old feat and replace it with another of the same type. For example, you could swap a skill feat for another skill feat, but not for a wizard feat.

Skills
You can spend a week of downtime retraining to swap out one of your skill increases. Reduce your proficiency rank in the skill losing its increase by one step and increase your proficiency rank in another skill by one step. The new proficiency rank has to be equal to or lower than the proficiency rank you traded away. For instance, if your bard is a master in Performance and Stealth, and an expert in Occultism, you could reduce the character’s proficiency in Stealth to expert and become a master in Occultism, but you couldn’t reassign that skill increase to become legendary in Performance. Keep track of your level when you reassign skill increases; the level at which your skill proficiencies changed can influence your ability to retrain feats with skill prerequisites.

You can also spend a week to retrain an initial trained skill you gained during character creation.

Class Features
You can change a class feature that required a choice, making a different choice instead. This lets you change a druid order or a wizard school, for example. The GM will tell you how long this takes—always at least a month."
Scout Location,"Downtime, Secret",GMG 163,None,"You spend time observing the place or group you wish to infiltrate. Attempt a normal, hard, or very hard DC Perception, Society or Stealth check.

Success You make observations that provide 1 EP.
Failure You learn nothing particularly noteworthy.
Critical Failure You misjudge some aspect of what you observed, gaining 1 EP that results in a critical failure instead of a success when used, even if a PC uses the Edge Point after rolling a failure."
